lsoa_code,ward_code
E01001194,E05011489
E01001195,E05013527
E01001196,E05013522
E01001197,E05013527
E01001198,E05013522
E01001199,E05013527
E01001200,E05013522
E01001201,E05013527
E01001202,E05013536
E01001203,E05013536
E01001204,E05013535
E01001205,E05013535
E01001206,E05013535
E01001207,E05013535
E01001208,E05013535
E01001209,E05013535
E01001210,E05013535
E01001211,E05013535
E01001212,E05013535
E01001213,E05013519
E01001214,E05013519
E01001215,E05013519
E01001216,E05013519
E01001217,E05013519
E01001218,E05013519
E01001219,E05013519
E01001220,E05013519
E01001223,E05013520
E01001224,E05013520
E01001225,E05013520
E01001226,E05013520
E01001227,E05013520
E01001228,E05013520
E01001229,E05013521
E01001230,E05013521
E01001231,E05013521
E01001232,E05013521
E01001233,E05013521
E01001234,E05013521
E01001235,E05013521
E01001236,E05013521
E01001237,E05013521
E01001239,E05013527
E01001240,E05013522
E01001241,E05013522
E01001242,E05013522
E01001243,E05013522
E01001244,E05013522
E01001245,E05013540
E01001246,E05013527
E01001247,E05013527
E01001248,E05013525
E01001249,E05013525
E01001250,E05013525
E01001251,E05013525
E01001252,E05013525
E01001253,E05013525
E01001254,E05013525
E01001255,E05013525
E01001257,E05013523
E01001258,E05013523
E01001259,E05013523
E01001260,E05013518
E01001261,E05013523
E01001262,E05013523
E01001263,E05013523
E01001264,E05013523
E01001265,E05013518
E01001266,E05013518
E01001267,E05013518
E01001268,E05013523
E01001269,E05013518
E01001270,E05013518
E01001271,E05013518
E01001272,E05013518
E01001273,E05013524
E01001274,E05013524
E01001275,E05013524
E01001276,E05013524
E01001277,E05013524
E01001278,E05013524
E01001279,E05013524
E01001280,E05013524
E01001281,E05013524
E01001282,E05013529
E01001283,E05013529
E01001284,E05013529
E01001285,E05013529
E01001286,E05013529
E01001287,E05013529
E01001288,E05013529
E01001289,E05013529
E01001290,E05013529
E01001291,E05013526
E01001292,E05013526
E01001293,E05013526
E01001294,E05013526
E01001295,E05013526
E01001296,E05013526
E01001297,E05013526
E01001298,E05013526
E01001299,E05013530
E01001300,E05013530
E01001301,E05013530
E01001302,E05013530
E01001303,E05013530
E01001304,E05013530
E01001305,E05013530
E01001306,E05013530
E01001307,E05013528
E01001308,E05013528
E01001309,E05013528
E01001310,E05013528
E01001311,E05013528
E01001312,E05013528
E01001313,E05013528
E01001314,E05013528
E01001315,E05013531
E01001316,E05013531
E01001317,E05013531
E01001318,E05013531
E01001319,E05013531
E01001320,E05013531
E01001321,E05013531
E01001322,E05013531
E01001323,E05013531
E01001324,E05013532
E01001325,E05013532
E01001326,E05013532
E01001327,E05013532
E01001328,E05013532
E01001329,E05013532
E01001330,E05013532
E01001331,E05013532
E01001332,E05013532
E01001333,E05013538
E01001334,E05013533
E01001335,E05013533
E01001336,E05013533
E01001337,E05013533
E01001338,E05013533
E01001339,E05013533
E01001340,E05013533
E01001341,E05013534
E01001342,E05013534
E01001343,E05013534
E01001344,E05013534
E01001345,E05013534
E01001346,E05013534
E01001347,E05013534
E01001348,E05013534
E01001349,E05013534
E01001350,E05013527
E01001351,E05013536
E01001352,E05013521
E01001353,E05013536
E01001354,E05013536
E01001355,E05013536
E01001356,E05013536
E01001357,E05013536
E01001358,E05013536
E01001359,E05013539
E01001360,E05013537
E01001361,E05013537
E01001362,E05013537
E01001363,E05013539
E01001364,E05013537
E01001365,E05013539
E01001366,E05013538
E01001367,E05013538
E01001368,E05013538
E01001369,E05013538
E01001370,E05013538
E01001371,E05013538
E01001372,E05013533
E01001373,E05013538
E01001374,E05013540
E01001375,E05013540
E01001376,E05013540
E01001377,E05013540
